"Numer dokumentu";"Data złożenia";"Data zamknięcia";"Student";"Tryb studiów";"Typ studiów";"Język wykładowy";"Kierunek";"Status";"Rodzaj wniosku";"Osoba przyjmująca";"Osoba przypisana";"Słowo regulamin w uzasadnieniu";"Słowo formaln w uzasadnieniu";"Słowo postęp w uzasadnieniu";"Złożone odwołanie";"Liczba załączników";"Liczba zmian statusu";"Semestr rejestracji";"Semestr aktualny";"Semestr studiow";"Brakujace ECTS";"ECTS uznane w bieżącym semstrze";"Suma zdobytych ECTS";"Niezaliczone z sem 1";"Niezaliczone z sem 2";"Niezaliczone z sem 3";"Niezaliczone z sem 4";"Niezaliczone z sem 5";"Niezaliczone z sem 6";"Liczba brakujacych przedmiotow";"Brakujace przedmioty";"Opłata za niezaliczone przedmioty";"Liczba prac dyplomowych";"Informacje o pracach dyplomowych";"Stopień zaawansowania pracy";"Słowo rodzin lub famil w uzasadnieniu";"Słowo zdrow lub health w uzasadnieniu";"Słowo bardzo proszę w uzasadnieniu";"Słowo losow w uzasadnieniu";"Słowo prac lub work w uzasadnieniu";"Słowo obiecuję lub promise w uzasadnieniu";"Słowo zobowiązuję w uzasadnieniu"
565;"13.10.2017 09:26";"14.10.2017 08:56";"WqAdrXQFVXEuVFbBNi8ZYw";"D";"I";"PL";"Model 2,I,D,PL,7 - Inżynieria  Komputerowa";"Zamknięty - decyzja pozytywna";"Wniosek ogólny";"s67ATdcxFRCArkQmkAHEzw";"ZRZOnmXcfa9Tlr9XY1AxQ";"NO";"NO";"NO";"NO";0;6;"null";"2017Z";7;43;0;167;0;0;0;2;3;9;11;"1DI1404,1DI1502,1DI1605,1DI1603,1DI1608,1DI1720,1DI1650,1DI1610,1DI1736,SJOJEZYK5,SJOJEZYK6";3260;0;;;"NIE";"NIE";"NIE";"NIE";"TAK";"NIE";"NIE"
111;"15.09.2017 17:02";"19.09.2017 16:05";"b7uHtLHmJCf40Cj27vMhVg";"Z";"I";"PL";"Model 2,I,Z,PL,8 - Technika Wysokich Napięć i Kompatybilność Elektromagnetyczna";"Zamknięty - decyzja negatywna";"Podanie o rejestrację";"FUYMkMMRDa35xtOw0V36w";"CFN5v4I1QvglQe1ZzUQew";"NO";"NO";"YES";"NO";0;6;"null";"2017L";6;42;2;116;0;0;1;5;3;2;11;"1ZE1318,1ZE1417,1ZE1703,1ZE1420,1ZE1403,1ZE1418,1ZE1510,1ZE1506,SJONSTJEZ3,1ZE1605,1ZE1221";1250;0;;;"TAK";"TAK";"NIE";"NIE";"NIE";"NIE";"NIE"
294;"18.09.2017 22:57";"19.09.2017 16:27";"DjOIoCquSJwSIQ96XqbiQ";"Z";"I";"PL";"Model 2,I,Z,PL,8 - Elektroenergetyka";"Zamknięty - decyzja pozytywna";"Podanie o rejestrację";"FUYMkMMRDa35xtOw0V36w";"CFN5v4I1QvglQe1ZzUQew";"NO";"NO";"NO";"NO";0;4;"null";"2017L";4;0;10;168;0;1;3;1;0;0;7;"1ZE1221,1ZE1305,1ZE1306,1ZE1308,1ZE1407,1ZE1504,1ZE1414";560;0;;;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
13;"14.09.2017 10:16";"15.09.2017 13:38";"cKN0GNsJejbI3uFXBTlw";"D";"I";"PL";"Model 2,I,D,PL,7 - Elektromechatronika Pojazdów i Maszyny Elektryczne";"Zamknięty - decyzja pozytywna";"Podanie o rejestrację";"FUYMkMMRDa35xtOw0V36w";"WXJX9CCNKupY4S1OKIcNWg";"NO";"NO";"NO";"NO";0;12;"null";"2017L";6;0;21;151;0;0;4;2;2;0;10;"1DE1204,1DE1302,1DE1301,1DE1305,1DE1413,1DE1416,1DE1505,1DE1518,1DE1627,1DE1628";2150;0;;;"NIE";"NIE";"NIE";"NIE";"TAK";"NIE";"NIE"
301;"18.09.2017 23:29";"19.09.2017 16:29";"EJ0ALSHjEfgLOOCgPO0RjA";"Z";"I";"PL";"Model 2,I,Z,PL,8 - Technika Wysokich Napięć i Kompatybilność Elektromagnetyczna";"Zamknięty - decyzja pozytywna";"Podanie o rejestrację";"FUYMkMMRDa35xtOw0V36w";"CFN5v4I1QvglQe1ZzUQew";"NO";"NO";"NO";"NO";0;4;"null";"2017L";6;32;15;126;0;1;2;3;2;7;7;"1ZE1221,1ZE1306,1ZE1308,1ZE1510,1ZE1506,1ZE1611,1ZE1802";560;0;;;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
105;"15.09.2017 15:59";"17.09.2017 22:27";"XXwSG8qlyLoeLhXSidCKw";"D";"I";"PL";"Model 2,I,D,PL,7 - Technika Wysokich Napięć i Kompatybilność Elektromagnetyczna";"Zamknięty - decyzja pozytywna";"Podanie o rejestrację";"FUYMkMMRDa35xtOw0V36w";"WXJX9CCNKupY4S1OKIcNWg";"NO";"NO";"NO";"NO";0;6;"null";"2017L";6;15;42;165;0;0;2;1;7;1;11;"1DE1204,1DW1301,1DE1416,1DE1501,1DE1515,1DE1513,1DE1505,1DE1506,1DE1518,SJOJEZYK3,1DE1695";1160;0;;;"TAK";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
976;"5.11.2017 10:17";"6.11.2017 08:50";"53qgfPHd7KenJcba0xZvEg";"Z";"I";"PL";"Model 2,I,Z,PL,8 - Elektrotechnika";"Zamknięty - inne";"Potwierdzenie opłaty";"qDuYYvY4wP3o1XIJVQ2G6A";"qDuYYvY4wP3o1XIJVQ2G6A";"NO";"NO";"NO";"NO";1;4;"null";"2017Z";1;24;0;0;6;0;0;0;0;0;0;;0;0;;;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
78;"15.09.2017 10:47";"18.09.2017 10:33";"hBMaEfmwUq80S9cLg9SjEg";"D";"I";"PL";"Model 2,I,D,PL,7 - Elektronika Przemysłowa";"Zamknięty - decyzja pozytywna";"Podanie o rejestrację";"FUYMkMMRDa35xtOw0V36w";"WXJX9CCNKupY4S1OKIcNWg";"NO";"NO";"NO";"NO";0;6;"null";"2017L";4;11;27;109;0;1;0;3;0;0;4;"1DE1201,1DE1414,1DE1413,1DE1415";320;0;;;"NIE";"NIE";"NIE";"NIE";"TAK";"NIE";"NIE"
693;"23.10.2017 20:42";"23.10.2017 22:19";"v9GG17QIBrFGJklXJjg";"Z";"I";"PL";"Model 2,I,Z,PL,8 - Elektromechatronika Pojazdów i Maszyny Elektryczne";"Zamknięty - decyzja negatywna";"Wniosek o rozłożenie opłaty za studia na raty";"FUYMkMMRDa35xtOw0V36w";"qDuYYvY4wP3o1XIJVQ2G6A";"NO";"NO";"NO";"NO";0;3;"null";"2017Z";7;49;0;130;1;0;1;3;2;2;13;"1ZE1112,1ZE1420,1ZE1418,SJONSTJEZ2,1ZE1773,1ZE1774,1ZE1717,1ZE1775,1ZE1776,1ZE1638,1ZE1845,1ZE1808,1ZE1850";1900;0;;;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
32;"14.09.2017 15:22";"17.09.2017 22:59";"Tlrq629aBNKIj1bwcY8lg";"D";"I";"PL";"Model 2,I,D,PL,7 - Elektromechatronika Pojazdów i Maszyny Elektryczne";"Zamknięty - decyzja pozytywna";"Podanie o rejestrację";"FUYMkMMRDa35xtOw0V36w";"WXJX9CCNKupY4S1OKIcNWg";"NO";"NO";"NO";"NO";0;6;"null";"2017L";6;0;30;180;0;0;1;0;0;0;1;"1DE1204";80;0;;;"NIE";"NIE";"NIE";"NIE";"TAK";"NIE";"NIE"
